total_baggage,total_cargo,total_mnc,total_mail,departure_airport,combined,timestamp
1209.00,0.00,0.00,0.00,DUB,2024-05_MN_1178.0_1.0,2024-04-30 08:59:38
,,,,DUB,2024-05_MN_1776.0_1.0,2024-04-30 09:00:36
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1776.0_1.0,2024-04-30 09:00:36
,,,,DUB,2024-05_MN_1276.0_1.0,2024-04-30 09:00:37
1014.00,0.00,0.00,0.00,DUB,2024-05_MN_1276.0_1.0,2024-04-30 09:00:37
,,,,DUB,2024-05_MN_1742.0_1.0,2024-04-30 09:01:35
1820.00,0.00,0.00,0.00,DUB,2024-05_MN_1742.0_1.0,2024-04-30 09:01:35
,,,,DUB,2024-05_MN_1592.0_1.0,2024-04-30 09:02:40
1053.00,0.00,0.00,0.00,DUB,2024-05_MN_1592.0_1.0,2024-04-30 09:02:40
,,,,DUB,2024-05_MN_1436.0_1.0,2024-04-30 09:11:37
,,,,DUB,2024-05_MN_1486.0_1.0,2024-04-30 09:10:38
1859.00,0.00,0.00,0.00,DUB,2024-05_MN_1486.0_1.0,2024-04-30 09:10:38
,,,,DUB,2024-05_MN_1436.0_1.0,2024-04-30 09:09:38
1404.00,0.00,0.00,0.00,DUB,2024-05_MN_1436.0_1.0,2024-04-30 09:09:38
,,,,DUB,2024-05_MN_1486.0_1.0,2024-04-30 09:11:37
1859.00,0.00,0.00,0.00,DUB,2024-05_MN_1486.0_1.0,2024-04-30 09:11:37
1404.00,0.00,0.00,0.00,DUB,2024-05_MN_1436.0_1.0,2024-04-30 09:11:37
,,,,DUB,2024-05_MN_1117.0_1.0,2024-04-30 09:13:36
2400.00,0.00,0.00,0.00,DUB,2024-05_MN_1117.0_1.0,2024-04-30 09:13:36
,,,,DUB,2024-05_MN_1101.0_1.0,2024-04-30 09:15:02
2175.00,0.00,0.00,0.00,DUB,2024-05_MN_1101.0_1.0,2024-04-30 09:15:02
,,,,DUB,2024-05_MN_1131.0_1.0,2024-04-30 09:18:26
,,,,DUB,2024-05_MN_1117.0_1.0,2024-04-30 09:13:56
2400.00,0.00,65.00,0.00,DUB,2024-05_MN_1117.0_1.0,2024-04-30 09:13:56
,,,,DUB,2024-05_MN_1131.0_1.0,2024-04-30 09:18:06
2190.00,0.00,0.00,0.00,DUB,2024-05_MN_1131.0_1.0,2024-04-30 09:18:06
,,,,DUB,2024-05_MN_1119.0_1.0,2024-04-30 09:20:30
2385.00,0.00,0.00,0.00,DUB,2024-05_MN_1119.0_1.0,2024-04-30 09:20:30
,,,,DUB,2024-05_MN_1101.0_1.0,2024-04-30 09:16:04
2175.00,0.00,65.00,0.00,DUB,2024-05_MN_1101.0_1.0,2024-04-30 09:16:04
,,,,DUB,2024-05_MN_1131.0_1.0,2024-04-30 09:18:10
2190.00,0.00,0.00,0.00,DUB,2024-05_MN_1131.0_1.0,2024-04-30 09:18:10
2190.00,0.00,65.00,0.00,DUB,2024-05_MN_1131.0_1.0,2024-04-30 09:18:26
,,,,DUB,2024-05_MN_1119.0_1.0,2024-04-30 09:20:49
2385.00,0.00,65.00,0.00,DUB,2024-05_MN_1119.0_1.0,2024-04-30 09:20:49
,,,,DUB,2024-05_MN_1087.0_1.0,2024-04-30 09:19:19
2430.00,0.00,0.00,0.00,DUB,2024-05_MN_1087.0_1.0,2024-04-30 09:19:19
,,,,DUB,2024-05_MN_1087.0_1.0,2024-04-30 09:19:38
2430.00,0.00,65.00,0.00,DUB,2024-05_MN_1087.0_1.0,2024-04-30 09:19:38
,,,,DUB,2024-05_MN_1580.0_1.0,2024-04-30 09:24:48
3640.00,0.00,0.00,0.00,DUB,2024-05_MN_1580.0_1.0,2024-04-30 09:24:48
,,,,DUB,2024-05_MN_1115.0_1.0,2024-04-30 09:21:32
