total_cargo,total_eic,total_mail,departure_airport,combined,timestamp
5.00,69.00,0.00,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:41:48
,,,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:41:48
2.00,30.00,0.00,VCP,2024-05_ZY_2016.0_30.0,2024-04-30 18:41:49
,,,VCP,2024-05_ZY_2013.0_30.0,2024-04-30 18:53:47
,,,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:45:42
3.00,10.00,0.00,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:45:42
,,,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:46:25
0.00,10.00,0.00,VCP,2024-05_ZY_2010.0_30.0,2024-04-30 18:46:25
,,,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:46:29
2.00,69.00,0.00,VCP,2024-05_ZY_2017.0_30.0,2024-04-30 18:46:29
5.00,10.00,0.00,VCP,2024-05_ZY_2013.0_30.0,2024-04-30 18:53:47
,,,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:09:45
0.00,0.00,0.00,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:09:45
,,,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:10:02
0.00,0.00,0.00,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:10:02
,,,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:10:53
0.00,0.00,0.00,VCP,2024-05_ZY_2600.0_30.0,2024-04-30 19:10:53
,,,VCP,2024-05_ZY_2013.0_30.0,2024-04-30 19:15:16
5.00,22.00,0.00,VCP,2024-05_ZY_2013.0_30.0,2024-04-30 19:15:16
,,,CGB,2024-05_ZY_5810.0_30.0,2024-04-30 21:41:55
0.00,0.00,0.00,CGB,2024-05_ZY_5810.0_30.0,2024-04-30 21:41:55
,,,BVH,2024-05_ZY_5809.0_30.0,2024-04-30 21:41:55
0.00,0.00,0.00,BVH,2024-05_ZY_5809.0_30.0,2024-04-30 21:41:55
,,,CPV,2024-05_ZY_5317.0_30.0,2024-05-01 00:30:30
0.00,0.00,0.00,CPV,2024-05_ZY_5317.0_30.0,2024-05-01 00:30:30
,,,SDU,2024-05_ZY_5117.0_29.0,2024-05-01 00:32:43
0.00,0.00,0.00,SDU,2024-05_ZY_5117.0_29.0,2024-05-01 00:32:43
,,,FLL,2024-05_ZY_9705.0_30.0,2024-05-01 00:30:08
0.00,0.00,0.00,FLL,2024-05_ZY_9705.0_30.0,2024-05-01 00:30:08
,,,CNF,2024-05_ZY_5264.0_29.0,2024-05-01 00:30:09
,,,FLN,2024-05_ZY_5410.0_30.0,2024-05-01 00:32:14
,,,MOC,2024-05_ZY_5167.0_29.0,2024-05-01 00:30:08
,,,VCP,2024-05_ZY_9704.0_30.0,2024-05-01 00:30:08
0.00,0.00,0.00,VCP,2024-05_ZY_9704.0_30.0,2024-05-01 00:30:08
,,,REC,2024-05_ZY_5878.0_30.0,2024-05-01 00:33:23
