cargo_weight,mail_weight,timestamp,combined
1800.0,99.0,2024-05-04 13:29:54,2024-05_AB_2409.0_4.0
401.0,0.0,2024-05-04 13:20:28,2024-05_AB_2643.0_4.0
100.0,38.0,2024-05-04 13:10:30,2024-05_AB_2551.0_4.0
1037.0,0.0,2024-05-04 13:07:43,2024-05_AB_2341.0_4.0
681.0,0.0,2024-05-04 13:06:11,2024-05_AB_2135.0_4.0
0.0,17.0,2024-05-04 12:47:35,2024-05_AB_2630.0_4.0
800.0,59.0,2024-05-04 12:20:26,2024-05_AB_2437.0_4.0
2000.0,24.0,2024-05-04 12:09:53,2024-05_AB_2125.0_4.0
200.0,52.0,2024-05-04 12:00:09,2024-05_AB_2349.0_4.0
3000.0,57.0,2024-05-04 11:48:42,2024-05_AB_2508.0_4.0
300.0,55.0,2024-05-04 11:38:58,2024-05_AB_2424.0_4.0
1500.0,64.0,2024-05-04 11:31:13,2024-05_AB_2120.0_4.0
1050.0,0.0,2024-05-04 11:08:49,2024-05_AB_2525.0_4.0
858.0,0.0,2024-05-04 11:07:23,2024-05_AB_2401.0_4.0
500.0,93.0,2024-05-04 11:05:01,2024-05_AB_2358.0_4.0
1818.0,6.0,2024-05-04 10:58:12,2024-05_AB_2407.0_4.0
180.0,89.0,2024-05-04 10:54:01,2024-05_AB_2510.0_4.0
500.0,54.0,2024-05-04 10:51:08,2024-05_AB_1071.0_4.0
681.0,0.0,2024-05-04 10:32:22,2024-05_AB_2642.0_4.0
1800.0,73.0,2024-05-04 10:32:16,2024-05_AB_2104.0_4.0
1619.0,0.0,2024-05-04 10:30:24,2024-05_AB_2376.0_4.0
800.0,78.0,2024-05-04 10:27:36,2024-05_AB_2550.0_4.0
1135.0,15.0,2024-05-04 10:12:16,2024-05_AB_2541.0_4.0
2000.0,22.0,2024-05-04 10:10:55,2024-05_AB_2334.0_4.0
1141.0,81.0,2024-05-04 10:07:35,2024-05_AB_2504.0_4.0
1800.0,14.0,2024-05-04 10:02:40,2024-05_AB_2124.0_4.0
144.0,0.0,2024-05-04 10:01:43,2024-05_AB_1070.0_4.0
74.0,0.0,2024-05-04 09:51:08,2024-05_AB_2365.0_4.0
1500.0,16.0,2024-05-04 09:43:56,2024-05_AB_2134.0_4.0
903.0,0.0,2024-05-04 09:41:06,2024-05_AB_2143.0_4.0
14.0,0.0,2024-05-04 09:34:26,2024-05_AB_2324.0_4.0
2397.0,0.0,2024-05-04 09:29:25,2024-05_AB_2629.0_4.0
1979.0,0.0,2024-05-04 09:15:07,2024-05_AB_2432.0_4.0
375.0,0.0,2024-05-04 08:57:51,2024-05_AB_2491.0_4.0
