cargo_estimate,mail_estimate,timestamp_estimate,combined,cargo_total,mail_total,departure_airport,timestamp_total
204.0,0.0,2024-05-06 09:17:37,2024-05_AB_2510.0_6.0,64.0,0.0,PNQ,2024-05-06 12:06:22
1500.0,328.0,2024-05-06 09:16:40,2024-05_AB_2376.0_6.0,449.0,0.0,BOM,2024-05-06 12:49:10
500.0,458.0,2024-05-06 09:15:55,2024-05_AB_2104.0_6.0,1613.0,0.0,BLR,2024-05-06 15:32:30
264.0,0.0,2024-05-06 09:11:55,2024-05_AB_2134.0_6.0,92.0,0.0,BLR,2024-05-06 10:46:19
300.0,217.0,2024-05-06 09:10:28,2024-05_AB_2365.0_6.0,0.0,0.0,PNQ,2024-05-06 11:19:19
100.0,298.0,2024-05-06 09:09:04,2024-05_AB_2143.0_6.0,0.0,0.0,PNQ,2024-05-06 11:10:52
349.0,0.0,2024-05-06 09:07:59,2024-05_AB_2527.0_6.0,0.0,0.0,BLR,2024-05-06 10:11:12
200.0,384.0,2024-05-06 09:06:52,2024-05_AB_2324.0_6.0,70.0,0.0,GAU,2024-05-06 10:36:35
500.0,27.0,2024-05-06 07:46:13,2024-05_AB_2550.0_6.0,520.0,0.0,BLR,2024-05-06 12:37:02
1569.0,95.0,2024-05-06 07:45:17,2024-05_AB_2504.0_6.0,108.0,0.0,GAU,2024-05-06 12:09:04
0.0,1.0,2024-05-06 07:36:23,2024-05_AB_8119.0_6.0,0.0,0.0,BBI,2024-05-06 15:17:13
0.0,55.0,2024-05-06 07:35:23,2024-05_AB_2629.0_6.0,0.0,0.0,GOX,2024-05-06 11:42:21
1333.0,0.0,2024-05-06 07:29:14,2024-05_AB_2564.0_6.0,696.0,0.0,CCU,2024-05-06 10:28:56
100.0,64.0,2024-05-06 07:25:13,2024-05_AB_2384.0_6.0,17.0,0.0,BBI,2024-05-06 13:34:02
300.0,250.0,2024-05-06 06:58:15,2024-05_AB_2497.0_6.0,0.0,0.0,VNS,2024-05-06 09:50:19
500.0,377.0,2024-05-06 06:50:51,2024-05_AB_2364.0_6.0,986.0,0.0,BLR,2024-05-06 09:18:25
700.0,94.0,2024-05-06 06:42:23,2024-05_AB_2491.0_6.0,0.0,0.0,BOM,2024-05-06 10:53:12
152.0,0.0,2024-05-06 06:20:57,2024-05_AB_2465.0_6.0,0.0,0.0,GOX,2024-05-06 08:58:48
1800.0,29.0,2024-05-06 06:04:51,2024-05_AB_2451.0_6.0,389.0,0.0,BOM,2024-05-06 08:29:38
600.0,70.0,2024-05-06 05:32:47,2024-05_AB_2486.0_6.0,0.0,0.0,MAA,2024-05-06 07:44:44
1500.0,52.0,2024-05-06 05:29:19,2024-05_AB_2432.0_6.0,1063.0,0.0,BLR,2024-05-06 10:10:51
1000.0,13.0,2024-05-06 05:28:30,2024-05_AB_2108.0_6.0,0.0,4.0,AMD,2024-05-06 10:00:03
1000.0,78.0,2024-05-06 05:26:24,2024-05_AB_2173.0_6.0,511.0,0.0,CCU,2024-05-06 07:53:28
1000.0,30.0,2024-05-06 05:25:31,2024-05_AB_2128.0_6.0,577.0,0.0,DEL,2024-05-06 10:08:39
300.0,1105.0,2024-05-06 05:23:53,2024-05_AB_2628.0_6.0,0.0,0.0,BLR,2024-05-06 09:13:20
0.0,98.0,2024-05-06 05:16:57,2024-05_AB_2142.0_6.0,0.0,0.0,GOX,2024-05-06 09:24:28
100.0,77.0,2024-05-06 05:16:40,2024-05_AB_2386.0_6.0,18.0,0.0,IXB,2024-05-06 09:14:13
1500.0,53.0,2024-05-06 05:15:56,2024-05_AB_2110.0_6.0,56.0,0.0,MAA,2024-05-06 13:10:27
1000.0,24.0,2024-05-06 05:14:47,2024-05_AB_2608.0_6.0,192.0,0.0,DEL,2024-05-06 09:09:54
1000.0,74.0,2024-05-06 05:13:04,2024-05_AB_2431.0_6.0,692.0,0.0,HYD,2024-05-06 08:45:32
11.0,400.0,2024-05-06 05:12:04,2024-05_AB_2379.0_6.0,0.0,0.0,GOX,2024-05-06 09:40:14
222.0,0.0,2024-05-06 05:02:15,2024-05_AB_2627.0_6.0,0.0,0.0,GOX,2024-05-06 07:26:51
112.0,0.0,2024-05-06 04:59:18,2024-05_AB_2394.0_6.0,0.0,0.0,BOM,2024-05-06 06:45:16
2000.0,59.0,2024-05-06 04:51:36,2024-05_AB_2503.0_6.0,196.0,0.0,BOM,2024-05-06 08:28:05
1800.0,94.0,2024-05-06 04:47:15,2024-05_AB_2323.0_6.0,1746.0,0.0,GAU,2024-05-06 07:01:16
300.0,8.0,2024-05-06 04:43:29,2024-05_AB_2563.0_6.0,0.0,0.0,PNQ,2024-05-06 05:24:53
100.0,89.0,2024-05-06 04:40:17,2024-05_AB_2851.0_6.0,0.0,7.0,IXB,2024-05-06 07:05:50
500.0,16.0,2024-05-06 04:22:29,2024-05_AB_7583.0_6.0,890.0,0.0,BLR,2024-05-06 08:48:25
51.0,0.0,2024-05-06 03:34:30,2024-05_AB_2378.0_6.0,0.0,0.0,DEL,2024-05-06 05:47:44
500.0,29.0,2024-05-06 03:18:28,2024-05_AB_2526.0_6.0,14.0,0.0,LKO,2024-05-06 05:20:16
1500.0,99.0,2024-05-06 03:17:19,2024-05_AB_2406.0_6.0,1021.0,0.0,DEL,2024-05-06 05:32:35
100.0,52.0,2024-05-06 03:15:49,2024-05_AB_2613.0_6.0,0.0,0.0,VNS,2024-05-06 07:01:51
1500.0,100.0,2024-05-06 03:13:47,2024-05_AB_2498.0_6.0,0.0,0.0,BOM,2024-05-06 07:26:22
141.0,0.0,2024-05-06 03:13:04,2024-05_AB_2373.0_6.0,0.0,0.0,IXB,2024-05-06 04:57:08
300.0,78.0,2024-05-06 03:09:26,2024-05_AB_2519.0_6.0,0.0,0.0,COK,2024-05-06 05:56:54
788.0,0.0,2024-05-06 03:06:55,2024-05_AB_2562.0_6.0,424.0,0.0,CCU,2024-05-06 03:26:19
200.0,3.0,2024-05-06 03:04:07,2024-05_AB_2781.0_6.0,40.0,0.0,AMD,2024-05-06 04:54:26
1000.0,88.0,2024-05-06 03:01:43,2024-05_AB_2411.0_6.0,86.0,0.0,DEL,2024-05-06 05:09:54
1500.0,18.0,2024-05-06 02:47:22,2024-05_AB_2172.0_6.0,506.0,0.0,BOM,2024-05-06 04:31:03
283.0,0.0,2024-05-06 02:16:50,2024-05_AB_2380.0_6.0,0.0,0.0,BOM,2024-05-06 07:58:56
1515.0,0.0,2024-05-06 02:16:30,2024-05_AB_2127.0_6.0,0.0,0.0,BOM,2024-05-06 07:17:57
837.0,0.0,2024-05-06 02:16:12,2024-05_AB_2385.0_6.0,189.0,0.0,BOM,2024-05-06 05:18:33
284.0,0.0,2024-05-06 02:15:45,2024-05_AB_2463.0_6.0,0.0,0.0,GOX,2024-05-06 05:45:14
195.0,0.0,2024-05-06 02:15:27,2024-05_AB_2371.0_6.0,0.0,0.0,GOX,2024-05-06 05:10:24
107.0,0.0,2024-05-06 01:34:40,2024-05_AB_2625.0_6.0,0.0,0.0,DEL,2024-05-06 04:10:03
300.0,155.0,2024-05-06 01:34:01,2024-05_AB_2492.0_6.0,0.0,0.0,VNS,2024-05-06 04:09:18
300.0,82.0,2024-05-06 01:33:01,2024-05_AB_2612.0_6.0,0.0,0.0,BLR,2024-05-06 03:29:46
151.0,0.0,2024-05-06 01:19:43,2024-05_AB_2342.0_6.0,0.0,0.0,AMD,2024-05-06 02:58:05
300.0,64.0,2024-05-06 01:16:42,2024-05_AB_2850.0_6.0,0.0,0.0,BLR,2024-05-06 03:20:59
