combined,timestamp,blockfuel_main1,blockfuel_trim,takeofffuel_main1,takeofffuel_trim,trip_fuel,max_fuel_cap,minimum_tof,taxi_fuel,takeoff_fuel
2024-05_AB_2379.0_30.0,2024-04-30 08:53:55,,,,,,,,,
2024-05_AB_2608.0_30.0,2024-04-30 08:59:34,,,,,4316.0,20724.0,7708.0,253.0,8147.0
2024-05_AB_2608.0_30.0,2024-04-30 08:59:34,,,,,,,,,
2024-05_AB_2465.0_30.0,2024-04-30 09:01:40,,,,,2330.0,21961.0,6293.0,220.0,6580.0
2024-05_AB_2465.0_30.0,2024-04-30 09:01:40,,,,,,,,,
2024-05_AB_2324.0_30.0,2024-04-30 09:05:38,,,,,1711.0,21961.0,8664.0,154.0,8746.0
2024-05_AB_2324.0_30.0,2024-04-30 09:05:38,,,,,,,,,
2024-05_AB_2110.0_30.0,2024-04-30 09:06:27,,,,,3283.0,21961.0,7095.0,352.0,7148.0
2024-05_AB_2110.0_30.0,2024-04-30 09:06:27,,,,,,,,,
2024-05_AB_2365.0_30.0,2024-04-30 09:15:51,,,,,2847.0,20724.0,6320.0,231.0,6320.0
2024-05_AB_2364.0_30.0,2024-04-30 09:16:08,,,,,2909.0,20724.0,6238.0,319.0,6281.0
2024-05_AB_2364.0_30.0,2024-04-30 09:16:08,,,,,,,,,
2024-05_AB_2384.0_30.0,2024-04-30 09:17:42,,,,,4070.0,21961.0,10557.0,198.0,10602.0
2024-05_AB_2384.0_30.0,2024-04-30 09:17:42,,,,,,,,,
2024-05_AB_2628.0_30.0,2024-04-30 09:24:36,,,,,2259.0,20724.0,6130.0,319.0,6181.0
2024-05_AB_2628.0_30.0,2024-04-30 09:24:36,,,,,,,,,
2024-05_AB_2386.0_30.0,2024-04-30 09:30:33,,,,,6619.0,21961.0,10773.0,209.0,10791.0
2024-05_AB_2386.0_30.0,2024-04-30 09:30:33,,,,,,,,,
2024-05_AB_2629.0_30.0,2024-04-30 09:34:23,,,,,4819.0,20724.0,13409.0,220.0,13409.0
2024-05_AB_2629.0_30.0,2024-04-30 09:35:24,,,,,4819.0,20724.0,13409.0,220.0,13409.0
2024-05_AB_2424.0_30.0,2024-04-30 09:35:55,,,,,5199.0,21961.0,11244.0,209.0,11244.0
2024-05_AB_2142.0_30.0,2024-04-30 09:43:46,,,,,1585.0,21961.0,7070.0,220.0,7080.0
2024-05_AB_2142.0_30.0,2024-04-30 09:43:46,,,,,,,,,
2024-05_AB_2491.0_30.0,2024-04-30 09:45:56,,,,,4108.0,21961.0,8460.0,352.0,8460.0
2024-05_AB_2104.0_30.0,2024-04-30 09:49:27,,,,,3517.0,21961.0,7557.0,330.0,7557.0
2024-05_AB_2134.0_30.0,2024-04-30 09:51:59,,,,,6271.0,21961.0,15905.0,319.0,15905.0
2024-05_AB_2504.0_30.0,2024-04-30 09:52:30,,,,,7058.0,21961.0,11180.0,253.0,11180.0
2024-05_AB_2376.0_30.0,2024-04-30 10:02:31,,,,,3186.0,21961.0,6668.0,341.0,6668.0
2024-05_AB_2108.0_30.0,2024-04-30 10:06:23,,,,,2556.0,21961.0,9599.0,253.0,9647.0
2024-05_AB_2108.0_30.0,2024-04-30 10:06:23,,,,,,,,,
2024-05_AB_2497.0_30.0,2024-04-30 10:12:15,,,,,4738.0,21961.0,10743.0,231.0,10969.0
2024-05_AB_2497.0_30.0,2024-04-30 10:12:15,,,,,,,,,
2024-05_AB_2128.0_30.0,2024-04-30 10:17:13,,,,,4412.0,21961.0,8688.0,253.0,8747.0
2024-05_AB_2128.0_30.0,2024-04-30 10:17:13,,,,,,,,,
2024-05_AB_2324.0_30.0,2024-04-30 10:23:07,,,,,6679.0,21961.0,10249.0,209.0,10291.0
2024-05_AB_2324.0_30.0,2024-04-30 10:23:07,,,,,,,,,
2024-05_AB_2432.0_30.0,2024-04-30 10:29:48,,,,,1968.0,21961.0,5720.0,319.0,5981.0
2024-05_AB_2432.0_30.0,2024-04-30 10:29:48,,,,,,,,,
2024-05_AB_2527.0_30.0,2024-04-30 10:35:18,,,,,4900.0,21961.0,8432.0,319.0,8481.0
2024-05_AB_2527.0_30.0,2024-04-30 10:35:18,,,,,,,,,
2024-05_AB_2124.0_30.0,2024-04-30 10:35:35,,,,,5206.0,21961.0,9699.0,341.0,9699.0
2024-05_AB_2334.0_30.0,2024-04-30 10:38:36,,,,,3390.0,20724.0,7199.0,319.0,7199.0
2024-05_AB_2134.0_30.0,2024-04-30 10:57:04,,,,,6271.0,21961.0,15905.0,319.0,16181.0
2024-05_AB_2134.0_30.0,2024-04-30 10:57:04,,,,,,,,,
2024-05_AB_2146.0_30.0,2024-04-30 11:05:08,,,,,3402.0,21961.0,7322.0,264.0,7322.0
2024-05_AB_2407.0_30.0,2024-04-30 11:06:39,,,,,4751.0,21961.0,10804.0,253.0,10804.0
2024-05_AB_2134.0_30.0,2024-04-30 11:08:57,,,,,6271.0,21961.0,15905.0,319.0,16981.0
2024-05_AB_2134.0_30.0,2024-04-30 11:08:57,,,,,,,,,
2024-05_AB_2120.0_30.0,2024-04-30 11:09:14,,,,,3896.0,21961.0,7665.0,341.0,7665.0
2024-05_AB_2642.0_30.0,2024-04-30 11:12:11,,,,,2666.0,21961.0,6622.0,341.0,6622.0
